Item Description,Duration,"Agriculture, forestry and fishing",crops,livestock,forestry and logging,fishing and aquaculture,Mining and quarrying,Manufacturing,"Electricity, gas, water supply & other utility services",Construction,"Trade, repair, hotels and restaurants",Trade & repair services,Hotels & restaurants,"Transport, storage, communication & services related to broadcasting",Railways,Road transport,Water transport,Air transport,Services incidental to transport,Storage,Communication & services related to broadcasting,Financial services,"Real estate, ownership of dwelling & professional services",Public administration and defence,Other services,Total GCF by industry of use*
(at current prices),2011-12,273870,234400,25553,2155,11763,67085,615002,308373,232479,192281,159857,32424,258518,32087,118049,6679,7643,33216,6480,54363,42696,816835,248030,150547,3205716
(at current prices),2012-13,273490,230845,26684,2264,13698,81290,649003,316801,261064,374565,342459,32106,268351,41732,116696,7370,5520,28162,3490,65381,36811,846666,271602,159854,3539498
(at current prices),2013-14,330836,280321,31390,2470,16655,148134,631751,318459,176810,238880,222392,16488,322561,46117,55376,3706,5327,15387,967,195682,37691,951562,308336,195221,3660242
(at current prices),2014-15,337859,282549,33843,2838,18629,73259,695493,315217,224420,385207,344197,41010,250004,71078,81258,2136,6761,14024,3681,71066,66135,1180607,340293,224038,4092534
(at current prices),2015-16,334370,277752,33481,3128,20008,67943,732842,360142,213752,435208,372637,62571,273948,81582,84890,2901,585,18123,6090,79777,76132,1148251,416858,245260,4304704
(at constant (2011-12) prices),2011-12,273870,234400,25553,2155,11763,67085,615002,308373,232479,192281,159857,32424,258518,32087,118049,6679,7643,33216,6480,54363,42696,816835,248030,150547,3205716
(at constant (2011-12) prices),2012-13,251094,211507,24376,2097,13113,76312,620148,304329,252825,349773,319787,29986,260474,40084,113960,7292,5453,26723,3254,63708,35324,793222,253811,150009,3347322
(at constant (2011-12) prices),2013-14,284424,240087,27098,2166,15073,133126,584269,298996,164015,212894,198057,14838,310836,42700,52237,3587,5149,14072,859,192231,35056,849497,276534,175035,3324683
(at constant (2011-12) prices),2014-15,277415,230316,28189,2449,16461,62335,625222,282096,204965,335581,299956,35625,223467,61111,74758,1928,6259,12467,3172,63772,58685,1010458,297585,194978,3572786
(at constant (2011-12) prices),2015-16,265038,216959,27664,2774,17642,58022,663317,323902,200320,389615,333770,55845,245570,70122,78861,2769,479,16385,5408,71547,68563,986395,373047,219103,3792893
